id,name,category,city,neighborhood,hook,description,tags,ambience,price_level,rating,address,lat,lng,open_hour,close_hour,reserve_url,image_note,image_url,tone,date_label,meeting_point,ticket_url,published,notes
glasscherbe,Glasscherbe,cafe,München,Glockenbachviertel,Cortado zwischen Antiquariat und Aschenbecher.,"Halb Antiquariat, halb Café, ganz aus der Zeit gefallen. Cortado, ein vergilbtes Buch, ein Platz am Fenster. Niemand stört, niemand drängt.","Cortado, Bücher, Ruhig","gemütlich, intim",2,4.5,"Klenzestraße 41, 80469 München",48.1283,11.5743,,,,"// bücher, rauch, ruhe",,brown,,,,TRUE,
kellerkind,Kellerkind,bar,München,Glockenbachviertel,"Treppe runter, Tür zu, Telefon weg.","Eine Kellerbar, in der Handys an der Garderobe bleiben. Gedämpftes Licht, ehrliche Drinks, Gespräche, die länger werden, weil keiner aufs Display schaut.","Cocktails, Intim, Spät","intim, underground",2,4.7,"Hans-Sachs-Straße 7, 80469 München",48.1304,11.5712,,,,"// kein netz, mit absicht",,charcoal,,,,TRUE,
muc-gaertnerei,Gärtnerei,cafe,München,Gärtnerplatzviertel,"Brunch am Rondell, bis der erste Spritz kommt.","Ein heller Eckladen am Gärtnerplatz, in dem der Brunch nahtlos in den Aperitivo übergeht. Sauerteig, pochierte Eier, und irgendwann steht statt Kaffee ein Spritz auf dem Tisch.","Brunch, Sauerteig, Spritz","lebhaft, gemütlich",2,4.5,"Reichenbachstraße 12, 80469 München",48.1308,11.5764,,,,"// langer tisch, später spritz",,green,,,,TRUE,
foehnsturm,Föhnsturm,bar,München,Maxvorstadt,"Negroni bei offenem Fenster, wenn der Wind passt.","Eine kleine Bar, die bei Föhn die Fenster aufreißt und die Stadt reinlässt. Negroni, ein Plattenspieler, der Barchef sucht selbst die Seite aus.","Negroni, Vinyl","lebhaft, intim",2,4.5,"Augustenstraße 28, 80333 München",48.1487,11.5651,,,,// fenster auf bei föhn,,charcoal,,,,TRUE,
lichthof-muc,Lichthof,cafe,München,Maxvorstadt,"Glasdach, Cappuccino, Studenten mit Romanen.","Ein verglaster Innenhof zwischen zwei Altbauten, in dem das Licht von oben fällt. Cappuccino, dicke Romane, das leise Blättern von Seiten. Die Uni ist nah, die Ruhe näher.","Cappuccino, Hell, Ruhig","gemütlich, elegant",2,4.4,"Türkenstraße 58, 80799 München",48.1512,11.5772,,,,// licht von oben,,green,,,,TRUE,
muc-leopold,Leopold & Sohn,bar,München,Schwabing,"Negroni, einen Steinwurf vom Englischen Garten.","Eine schmale Bar in einer Schwabinger Seitenstraße, nah genug am Englischen Garten, um danach barfuß heimzugehen. Klassische Drinks, kein Schnickschnack, ein Wirt mit Gedächtnis.","Negroni, Klassisch, Spät","lebhaft, intim",2,4.5,"Feilitzschstraße 9, 80802 München",48.1622,11.5862,,,,"// vor dem garten, nach der arbeit",,brown,,,,TRUE,
isarliebe,Isarliebe,restaurant,München,Haidhausen,"Wirtshaus von außen, Feinkost von innen.","Außen Stammtisch und Hirschgeweih, innen eine Küche, die jeden Klassiker zerlegt und neu baut. Der Schweinsbraten kommt, aber nicht so, wie du denkst.","Bayrisch, Modern","gemütlich, elegant",3,4.6,"Wörthstraße 6, 81667 München",48.1289,11.5942,,,https://www.opentable.de/,"// schweinsbraten, aber anders",,green,,,,TRUE,
weisswurst-um-zehn,Weißwurst um Zehn,snack,München,Isarvorstadt / Flaucher,"Vor zwölf, im Stehen, mit Brezn.","Eine Metzgerei mit Stehtischen, an denen die Weißwurst nach altem Gesetz nie das Mittagsläuten hört. Süßer Senf, frische Brezn, ein Weißbier dazu — fertig.","Weißwurst, Bayrisch, Günstig",lebhaft,1,4.5,"Ohlmüllerstraße 5, 81541 München",48.1235,11.5798,,,,// nie nach mittag,,brown,,,,TRUE,
muc-westendkueche,Westendküche,restaurant,München,Westend / Schwanthalerhöhe,"Multikulti-Block, ein Tisch, von dem keiner spricht.","Im weniger touristischen Westend kocht ein kleines Team quer durch den Mittelmeerraum, je nachdem, was der Markt hergab. Zehn Tische, lange Abende, faire Preise.","Mediterran, Saisonal, Multikulti","lebhaft, gemütlich",2,4.6,"Gollierstraße 24, 80339 München",48.1361,11.5392,,,https://www.opentable.de/,// karte? was frisch war,,brown,,,,TRUE,
tramklub,Tramklub,club,München,Werksviertel,"Alte Remise, neue Anlage, kein Schild.","Im Werksviertel hinterm Ostbahnhof läuft an Wochenenden eine Anlage, die zu gut ist für den Raum. Du findest es nur, wenn dir jemand sagt, wo — oder dem Bass folgst.","House, Spät, Underground","underground, lebhaft",2,4.6,"Atelierstraße 10, 81671 München",48.1268,11.6041,,,,"// gleise, dann bass",,charcoal,,,,TRUE,
beispiel-weinabend,Naturweinabend (Beispiel),weintasting,München,Glockenbachviertel,"Sechs Naturweine im Keller, blind verkostet.","Ein Kellergewölbe, sechs offene Naturweine, blind verkostet. Der Winzer bleibt anonym, der Käse ist regional, die Runde klein.","Natural, Blind, Klein","intim, elegant",3,4.7,"Klenzestraße 41, 80469 München",48.1283,11.5743,,,,"// blind, sechs gläser",,brown,Mi · 16. Juli · 19:00,"Kellertür, Klenzestraße 41",https://www.eventim.de/,FALSE,BEISPIEL für ein Event — anpassen oder löschen
